symbol,begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume,TP,20sma,MD,CCI
CVS,2018-01-16,77.759400,78.454400,False,77.162300,77.162300,reg,8437277,77.79203333333334,73.46720499999998,1.1048363333333402,260.96343882809373
CVS,2018-01-17,77.818200,78.278200,False,77.260200,77.916100,reg,7448679,77.78553333333333,73.78141499999997,1.1048363333333402,241.61155292282155
CVS,2018-01-18,77.671300,78.983000,False,77.583200,78.229300,reg,8065783,78.07916666666667,74.15728999999996,1.1048363333333402,236.64902805614233
CVS,2018-01-19,78.170600,78.346600,False,77.436400,77.896500,reg,7963595,77.98453333333333,74.52680499999997,1.1048363333333402,208.64196376195343
CVS,2018-01-22,79.237500,79.266900,False,78.239100,78.395700,reg,7016240,78.91449999999999,74.88848999999996,1.1048363333333402,242.9325127794194
CVS,2018-01-23,79.227600,79.483700,False,78.498800,79.267000,reg,5780587,79.07003333333334,75.19681999999997,1.1048363333333402,233.7126454224951
CVS,2018-01-24,79.700400,79.966300,False,79.139000,79.542800,reg,7308523,79.6019,75.58898999999997,1.1048363333333402,242.1420487921444
CVS,2018-01-25,80.350500,80.754300,False,79.542800,80.074700,reg,6357392,80.21586666666667,76.00044999999997,1.1048363333333402,254.36145544734813
CVS,2018-01-26,80.774000,80.774000,False,79.700400,80.409600,reg,5883258,80.41613333333333,76.47810999999997,1.1048363333333402,237.62333023282412
CVS,2018-01-29,82.369600,82.615800,False,80.517900,80.764100,reg,8372862,81.83443333333334,77.02135999999997,1.1048363333333402,290.42451435994496
CVS,2018-01-30,78.981400,79.720100,False,77.001700,77.307000,reg,16517869,78.56773333333334,77.42211499999996,1.1048363333333402,69.12748363835289
CVS,2018-01-31,77.504000,80.045100,False,76.863800,79.385200,reg,12472396,78.13763333333334,77.69907999999995,1.1048363333333402,26.462642480885435
CVS,2018-02-01,77.602500,78.010500,False,76.430400,77.119900,reg,9149986,77.3478,77.99663499999996,1.1048363333333402,-39.151198563645146
CVS,2018-02-02,75.297800,77.356300,False,74.440900,77.179000,reg,10395622,75.69833333333334,78.08449499999996,1.1048363333333402,-143.9828141463251
CVS,2018-02-05,72.215000,75.247500,False,72.185400,74.175000,reg,12199495,73.21596666666666,77.85572499999995,1.1048363333333402,-279.96655512676307
CVS,2018-02-06,72.904400,73.520000,False,70.688300,71.407300,reg,11241194,72.37089999999999,77.69470499999994,1.1048363333333402,-321.24245250200966
CVS,2018-02-07,73.229400,74.421200,False,72.461200,72.727100,reg,9611066,73.37060000000001,77.55384999999994,1.1048363333333402,-252.42049425721302
CVS,2018-02-08,69.486700,74.204500,False,69.437500,72.884700,reg,11725186,71.04289999999999,77.23809999999995,1.1048363333333402,-373.82309114260477
CVS,2018-02-09,68.344200,70.274600,False,66.295500,69.939800,reg,16718546,68.30476666666668,76.78789499999993,1.1048363333333402,-511.87843106373845
CVS,2018-02-12,68.816900,69.575300,False,68.452500,69.033600,reg,8943768,68.94823333333333,76.37306999999994,1.1048363333333402,-448.0203050688088
CVS,2018-02-13,69.053300,70.146600,False,68.551000,68.659400,reg,8796159,69.2503,75.93776499999994,1.1048363333333402,-403.52673653925245
CVS,2018-02-14,68.738200,69.161700,False,68.511600,68.610100,reg,6577049,68.80383333333333,75.48376499999995,1.1048363333333402,-403.0721694626008
CVS,2018-02-15,69.427600,69.870800,False,68.048700,69.526100,reg,6770206,69.1157,75.07157999999995,1.1048363333333402,-359.3823398880446
CVS,2018-02-16,70.816400,71.121700,False,69.260200,69.309400,reg,6469876,70.39943333333333,74.70386999999995,1.1048363333333402,-259.7329901150723
